poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention,meditation
,12623,13660,8551,2998,2792,4719,1355,1978,0,0
,10566,16599,32529,11971,3415,3673,1519,1475,0,0
,16868,10236,4338,25109,20378,4542,1896,2153,40,41
,6915,20925,22314,22413,34661,8814,3041,4903,48,38
,36181,87421,4256,8754,23107,12550,5940,3274,56,20
,17053,10337,15543,5536,18525,5081,5179,2870,75,21
,18215,7708,4223,4049,11628,6371,3211,2908,88,16
,19859,9059,7793,4933,17239,6771,6084,1492,100,16
,8115,12758,3916,9953,29649,2843,1756,4387,97,27
,118281,59228,15288,11147,9871,2554,2654,2301,80,21
,5780,11929,8245,5553,30086,7095,1682,3432,77,20
,2413,7997,17864,5471,18088,5506,1330,4666,67,27
,105793,77445,26716,13524,30582,5428,2647,1757,57,29
,10999,33366,4632,6027,30973,2955,2394,2596,67,20
,13351,55538,14924,12200,42497,5265,7237,1276,51,20
,5519,8181,12247,8376,16038,4040,3156,714,88,34
,5655,4327,9181,31743,31380,4084,2699,1545,91,48
,1823,4658,12405,17786,19664,6305,3431,3070,84,60
,238150,22579,934,1309,4438,432,246,275,54,43
,108102,30548,12779,13788,10042,5045,1924,797,50,40
